GEO_ID,NAME,DP05_0033E
36005019900,"Census Tract 199, Bronx County, New York",8462
36005020000,"Census Tract 200, Bronx County, New York",4548
36005020100,"Census Tract 201, Bronx County, New York",4254
36005020200,"Census Tract 202, Bronx County, New York",2252
36005020400,"Census Tract 204, Bronx County, New York",3091
36005020501,"Census Tract 205.01, Bronx County, New York",7041
36005020502,"Census Tract 205.02, Bronx County, New York",2163
36005020601,"Census Tract 206.01, Bronx County, New York",2336
36005020900,"Census Tract 209, Bronx County, New York",4499
36005021001,"Census Tract 210.01, Bronx County, New York",8825
36005021002,"Census Tract 210.02, Bronx County, New York",7710
36005021100,"Census Tract 211, Bronx County, New York",5138
36005021200,"Census Tract 212, Bronx County, New York",4960
36005021301,"Census Tract 213.01, Bronx County, New York",1361
36005021302,"Census Tract 213.02, Bronx County, New York",6040
36005021501,"Census Tract 215.01, Bronx County, New York",4716
36005021502,"Census Tract 215.02, Bronx County, New York",6349
36005021601,"Census Tract 216.01, Bronx County, New York",4356
36005021602,"Census Tract 216.02, Bronx County, New York",5635
36005021700,"Census Tract 217, Bronx County, New York",5147
36005021800,"Census Tract 218, Bronx County, New York",7017
36005021900,"Census Tract 219, Bronx County, New York",1045
36005022000,"Census Tract 220, Bronx County, New York",2243
36005022101,"Census Tract 221.01, Bronx County, New York",3896
36005022102,"Census Tract 221.02, Bronx County, New York",5528
36005022200,"Census Tract 222, Bronx County, New York",3242
36005022300,"Census Tract 223, Bronx County, New York",5078
36005022401,"Census Tract 224.01, Bronx County, New York",2637
36005022403,"Census Tract 224.03, Bronx County, New York",3374
36005022404,"Census Tract 224.04, Bronx County, New York",4209
36005022500,"Census Tract 225, Bronx County, New York",8271
36005022701,"Census Tract 227.01, Bronx County, New York",5194
36005022702,"Census Tract 227.02, Bronx County, New York",1617
36005022703,"Census Tract 227.03, Bronx County, New York",1736
36005022800,"Census Tract 228, Bronx County, New York",6096
36005022901,"Census Tract 229.01, Bronx County, New York",5866
36005022902,"Census Tract 229.02, Bronx County, New York",3578
36005023000,"Census Tract 230, Bronx County, New York",2832
36005023100,"Census Tract 231, Bronx County, New York",1602
36005023200,"Census Tract 232, Bronx County, New York",2711
36005023301,"Census Tract 233.01, Bronx County, New York",3804
36005023302,"Census Tract 233.02, Bronx County, New York",3627
36005023501,"Census Tract 235.01, Bronx County, New York",3182
36005023502,"Census Tract 235.02, Bronx County, New York",4180
36005023600,"Census Tract 236, Bronx County, New York",1904
36005023702,"Census Tract 237.02, Bronx County, New York",1143
36005023703,"Census Tract 237.03, Bronx County, New York",5527
36005023704,"Census Tract 237.04, Bronx County, New York",3944
36005023800,"Census Tract 238, Bronx County, New York",2288
36005023900,"Census Tract 239, Bronx County, New York",7684
36005024000,"Census Tract 240, Bronx County, New York",4234
36005024100,"Census Tract 241, Bronx County, New York",6635
36005024300,"Census Tract 243, Bronx County, New York",5630
36005024400,"Census Tract 244, Bronx County, New York",2277
36005024501,"Census Tract 245.01, Bronx County, New York",5009
36005024502,"Census Tract 245.02, Bronx County, New York",3752
36005024600,"Census Tract 246, Bronx County, New York",2082
36005024700,"Census Tract 247, Bronx County, New York",2037
36005024800,"Census Tract 248, Bronx County, New York",3053
36005024900,"Census Tract 249, Bronx County, New York",0
36005025000,"Census Tract 250, Bronx County, New York",2582
36005025100,"Census Tract 251, Bronx County, New York",6636
36005025200,"Census Tract 252, Bronx County, New York",2711
36005025300,"Census Tract 253, Bronx County, New York",6314
36005025400,"Census Tract 254, Bronx County, New York",2097
36005025500,"Census Tract 255, Bronx County, New York",6905
36005025600,"Census Tract 256, Bronx County, New York",1688
36005025700,"Census Tract 257, Bronx County, New York",1969
36005026100,"Census Tract 261, Bronx County, New York",1950
